id	model	brand	ram	hd	rec	priority	positive	negative	wordcloud
1	MD101LL/A	APPLE	4	500	BUY IT!	2	0.874	0.126	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
2	S400CA-DB51T	ASUS	6	500	IT'S A GOOD OPTION	3	0.75345	0.24655	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
3	XE303C12-A01US	SAMSUNG	2	16	IT'S A GOOD OPTION	3	0.79234	0.20766	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
4	NX.M49AA.004	ACER	6	500	IT'S A GOOD OPTION	3	0.78134	0.21866	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
5	V5-571P-6642	ACER	6	500	THINK IT TWICE!	4	0.58342	0.41658	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
6	S400CA-DH51T	ASUS	4	500	THINK IT TWICE!	4	0.600245	0.399755	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
7	Y500 (59359560)	LENOVO	6	1024	THINK IT TWICE!	4	0.64222	0.35778	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
8	G75VW-NH71	ASUS	12	500	THINK IT TWICE!	4	0.6	0.4	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
9	AVIU-145A2	AVATAR	8	500	THINK IT TWICE!	4	0.6093	0.3907	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
10	13Z (I13Z-8864SLV)	DELL	6	500	NEVER MIND!	4	0.451	0.549	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_bad.png
11	V5-552G-8632	ACER	4	500	THINK IT TWICE!	4	0.689	0.311	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
12	G750JW-DB71	ASUS	12	1024	THINK IT TWICE!	4	0.6154	0.3846	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
13	F75VD-NS51	ASUS	6	750	THINK IT TWICE!	4	0.6383	0.3617	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
14	UX31A-DH51	ASUS	4	128	THINK IT TWICE!	4	0.7	0.3	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
15	UX32VD-DH71	ASUS	4	520	THINK IT TWICE!	4	0.6039	0.3961	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
16	U310 (59365302)	LENOVO	4	500	NEVER MIND!	4	0.54324	0.45676	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_bad.png
17	S500CA-DS51T	ASUS	6	24	THINK IT TWICE!	4	0.622	0.378	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
18	GAMING FX6164	AVATAR	16	1024	THINK IT TWICE!	4	0.6449	0.3551	https://raw.github.com/simon0191/MinerPCAdviser/c006bf19e988253eabdf527592093b60471cb429/MpcaAndroidApp/res/drawable-hdpi/cloud_perfect.png
